Component	CO2_FF	CO2_AFOLU	CH4	N2O	SO2	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	NOx	CO	NMVOC	NH3	BMB_AEROS_BC	BMB_AEROS_OC	BC	OC	CFC-13	HCFC-124	HCFC-133a	HFC152a	HFC365mfc	HFC236fa	C3F8	C4F8	C4F10	NF3	SO2F2
Unit 	 Pg_C	Pg_C	Tg	Tg_N	Tg_S	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Mt_N	Mt	Mt	Mt	Tg	Tg	Tg	Tg  Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total  total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total  
Reference	ssp245	ssp245	ssp245	ssp245	ssp245	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	No data	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	
1776	0.00415919	0.13031971	22.14194213	0.08900268	1.23580271	0.0	0.0	0.0	0.0	0.0	105.03944	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.78e-06	0.0	0.0	7.491e-05	0.0	0.0	0.0	0.01007122	0.0	3.77185467	348.89855251	59.3811448	7.26146998	1.31531341	12.20922967	0.79682972	3.16084735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1777	0.0041603	0.13271721	22.56871006	0.09068414	1.26319817	0.0	0.0	0.0	0.0	0.0	105.05273	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.82e-06	0.0	0.0	7.898e-05	0.0	0.0	0.0	0.01007122	0.0	3.93211338	357.54536101	60.89349007	7.35597376	1.36123426	12.47305139	0.80901052	3.20040614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1778	0.00416141	0.13515883	22.85608093	0.09239737	1.28284354	0.0	0.0	0.0	0.0	0.0	105.04465	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.85e-06	0.0	0.0	8.302e-05	0.0	0.0	0.0	0.01007122	0.0	4.01508515	362.75541346	61.78348695	7.43460607	1.3904363	12.70128511	0.80756511	3.19817113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1779	0.00416253	0.13764536	22.82063569	0.09414297	1.25435994	0.0	0.0	0.0	0.0	0.0	105.03691	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.89e-06	0.0	0.0	8.707e-05	0.0	0.0	0.0	0.01007122	0.0	3.85988496	355.92617152	60.50081488	7.41877346	1.3448426	12.40499112	0.81477317	3.22246674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1780	0.00416465	0.14017764	23.24616665	0.09592154	1.27535767	0.0	0.0	0.0	0.0	0.0	104.98817	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.92e-06	0.0	0.0	9.105e-05	0.0	0.0	0.0	0.01007122	0.0	3.86537952	361.61404216	61.61859566	7.56942912	1.3588673	12.74981062	0.83040029	3.26857018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1781	0.00465659	0.1427565	23.24965548	0.09773371	1.27809741	0.0	0.0	0.0	0.0	0.0	105.04236	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.96e-06	0.0	0.0	9.518e-05	0.0	0.0	0.0	0.01007122	0.0	3.91488161	360.09005386	61.19330647	7.50578335	1.35889209	12.53540445	0.83054911	3.27154781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1782	0.00465771	0.14538281	23.34175812	0.09958013	1.2616048	0.0	0.0	0.0	0.0	0.0	105.03125	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	2e-06	0.0	0.0	9.922e-05	0.0	0.0	0.0	0.01007122	0.0	3.78818494	356.04655462	60.48572145	7.51962579	1.32908861	12.43440348	0.83143409	3.27841734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1783	0.00465984	0.14805744	23.37991679	0.10146142	1.2592441	0.0	0.0	0.0	0.0	0.0	105.0436	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	2.03e-06	0.0	0.0	0.00010329	0.0	0.0	0.0	0.01007122	0.0	3.78309253	354.28692425	60.10171272	7.49623227	1.32093087	12.32972767	0.82979472	3.2775328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1784	0.00466096	0.15078127	23.2940423	0.10337826	1.24163654	0.0	0.0	0.0	0.0	0.0	105.05531	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	2.07e-06	0.0	0.0	0.00010737	0.0	0.0	0.0	0.01007122	0.0	3.82964523	350.56949626	59.21225989	7.3811564	1.31834021	11.96953701	0.822202	3.25860425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1785	0.00466417	0.15355521	23.80210554	0.1053313	1.26712449	0.0	0.0	0.0	0.0	0.0	105.02817	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	2.1e-06	0.0	0.0	0.00011137	0.0	0.0	0.0	0.01007122	0.0	3.81595451	356.80512535	60.49447936	7.53815232	1.3362088	12.44734647	0.8296309	3.28536501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
